source,title,url,category,dotw,year,month,day,words,links,imgs,tweet_time,retweets,local_tweet_time,offset_hours
infosthetics,"Mapping Every Accident on the Roads of Great Britain",http://infosthetics.com/archives/2012/01/mapping_every_accident_ont_the_roads_of_great_britain.html,collection,Thursday,2012,01,05,142,5,1,2012-01-05 20:15:35 UTC,8,2012-01-05 21:15:35 +0100,1
infosthetics,"World Travel versus Global Communication As Recorded by Twitter",http://infosthetics.com/archives/2012/01/world_travel_versus_global_communication_recorded_on_twitter.html,collection,Monday,2012,01,09,138,6,1,2012-01-09 19:15:36 UTC,6,2012-01-09 20:15:36 +0100,1
infosthetics,"Visualizing Statistical Darts Strategies: Where to Best Aim Your Darts",http://infosthetics.com/archives/2012/01/visualizing_statistical_darts_strategies_where_to_aim.html,collection,Tuesday,2012,01,10,288,2,1,2012-01-10 20:34:46 UTC,1,2012-01-10 21:34:46 +0100,1
infosthetics,"Carbon Calculator: Revealing Potential Climate Change Mitigation",http://infosthetics.com/archives/2012/01/carbon_calculator_revealing_potential_climate_change_mitigation.html,infographic,Wednesday,2012,01,11,147,7,1,2012-01-11 20:33:12 UTC,4,2012-01-11 21:33:12 +0100,1
infosthetics,"Lichtreise: Highlighting Travel Itineraries with Long-Exposure Photos",http://infosthetics.com/archives/2012/01/lichtreise_highlighting_travel_itineraries_with_long_exposure_photos.html,art,Thursday,2012,01,12,109,7,1,2012-01-13 10:52:01 UTC,2,2012-01-13 11:52:01 +0100,1
infosthetics,"Ushahidi: Free Software for Data Collection, Visualization & Mapping",http://infosthetics.com/archives/2012/01/ushahidi_free_software_for_data_collection_visualization_mapping.html,infographic,Tuesday,2012,01,17,248,9,1,2012-01-17 19:15:52 UTC,8,2012-01-17 20:15:52 +0100,1
infosthetics,"What Stamen Design Accomplished in 2011 (Cool Maps)",http://infosthetics.com/archives/2012/01/what_stamen_did_in_2011.html,art,Wednesday,2012,01,18,253,19,1,,,,
infosthetics,"TEDx Talk on Molecular Animation: Combining Cinema and Biology",http://infosthetics.com/archives/2012/01/tedx_talk_on_molecular_animation_combining_cinema_and_biology.html,infographic,Tuesday,2012,01,24,209,6,1,2012-01-24 20:38:43 UTC,3,2012-01-24 21:38:43 +0100,1
infosthetics,"The State of the Union Address 2012 - Infographically Enhanced",http://infosthetics.com/archives/2012/01/the_state_of_the_union_address_2012_-_infographically_enhanced.html,infographic,Wednesday,2012,01,25,168,7,1,2012-01-25 21:43:50 UTC,6,2012-01-25 22:43:50 +0100,1
infosthetics,"Time Maps: Morphing a Country According to its Travel Time",http://infosthetics.com/archives/2012/01/time_maps_morphing_a_country_according_to_its_travel_time.html,infographic,Wednesday,2012,01,25,129,6,1,2012-01-25 20:33:02 UTC,6,2012-01-25 21:33:02 +0100,1
infosthetics,"Visualizing the Demographic Reach of Yahoo! Homepage Stories",http://infosthetics.com/archives/2012/01/visualizing_the_demographic_reach_of_yahoo_homepage_stories.html,infographic,Monday,2012,01,30,150,4,1,2012-01-30 14:47:41 UTC,0,2012-01-30 15:47:41 +0100,1
infosthetics,"Spot: Visualizing Twitter Dynamics as Particles",http://infosthetics.com/archives/2012/01/spot_visualizing_twitter_dynamics_as_particles.html,collection,Tuesday,2012,01,31,125,7,1,2012-01-31 19:20:40 UTC,3,2012-01-31 20:20:40 +0100,1
infosthetics,"Revealing the Energy Consumption of Each Building in New York",http://infosthetics.com/archives/2012/02/revealing_the_energy_consumption_of_each_building_in_new_york.html,architecture,Thursday,2012,02,02,156,7,1,2012-02-02 19:17:55 UTC,3,2012-02-02 20:17:55 +0100,1
infosthetics,"Revealing the Impact of Super Bowl Advertising on Social Media",http://infosthetics.com/archives/2012/02/revealing_the_impact_of_super_bowl_advertising_on_social_media.html,collection,Friday,2012,02,03,141,1,1,2012-02-03 18:29:33 UTC,4,2012-02-03 19:29:33 +0100,1
infosthetics,"Super Chatter: Analyzing Conversations about the Super Bowl on Twitter",http://infosthetics.com/archives/2012/02/super_chatter_the_super_bowl_conversations_on_twitter.html,collection,Monday,2012,02,06,122,2,1,2012-02-06 19:48:15 UTC,0,2012-02-06 20:48:15 +0100,1
infosthetics,"Deluge: How 300.000 Norwegians Move House in a Year",http://infosthetics.com/archives/2012/02/deluge_how_300000_norwegians_move_house_in_a_year.html,infographic,Tuesday,2012,02,07,175,10,1,2012-02-07 21:35:12 UTC,0,2012-02-07 22:35:12 +0100,1
infosthetics,"Conveying GE Machine Usage Data: Balancing Art and Visualization",http://infosthetics.com/archives/2012/02/conveying_ge_machine_usage_data_balancing_art_and_visualization.html,art,Monday,2012,02,13,208,2,1,2012-02-13 11:46:57 UTC,6,2012-02-13 12:46:57 +0100,1
infosthetics,"Metrography: London Reshaped to Match the Classic Tube Map",http://infosthetics.com/archives/2012/02/metrography_london_reshaped_to_match_the_tube_map.html,art,Tuesday,2012,02,14,174,17,1,2012-02-14 19:28:35 UTC,7,2012-02-14 20:28:35 +0100,1
infosthetics,"Mapping the Financial Impact of Population Movement in the U.S.",http://infosthetics.com/archives/2012/02/mapping_the_financial_impact_of_population_movements_in_the_us.html,collection,Tuesday,2012,02,14,134,5,1,,,,
infosthetics,"Exploring President Obama's Federal Budget Proposal through Bubbles",http://infosthetics.com/archives/2012/02/exploring_president_obamas_federal_budget_proposal_through_bubbles.html,collection,Wednesday,2012,02,15,136,7,1,2012-02-15 19:00:35 UTC,1,2012-02-15 20:00:35 +0100,1
infosthetics,"Infographically Enhanced Observation Deck at Zurich Airport",http://infosthetics.com/archives/2012/02/infographically_enhanced_observation_deck_at_zurich_airport.html,architecture,Wednesday,2012,02,15,163,2,1,2012-02-15 19:37:02 UTC,11,2012-02-15 20:37:02 +0100,1
infosthetics,"Ranking the Autonomy of Universities in Europe",http://infosthetics.com/archives/2012/02/ranking_the_autonomy_of_universities_in_europe.html,collection,Monday,2012,02,27,125,4,1,2012-02-27 19:59:44 UTC,6,2012-02-27 20:59:44 +0100,1
infosthetics,"Ville Vivante: Tracing the Liveliness of Mobile Phone Usage in Geneva",http://infosthetics.com/archives/2012/02/ville_vivante_tracing_the_liveliness_of_mobile_phone_usage_in_geneva.html,art,Wednesday,2012,02,29,146,1,1,2012-02-29 17:17:53 UTC,6,2012-02-29 18:17:53 +0100,1
infosthetics,"The Feltron Biennial Report of 2010 and 2011",http://infosthetics.com/archives/2012/02/the_feltron_annual_report_of_2010_and_2011.html,collection,Wednesday,2012,02,29,220,10,1,2012-02-29 16:13:35 UTC,0,2012-02-29 17:13:35 +0100,1
